"id";"name";"throughput";"power"
1;"MCS 0";86;-86
2;"MCS 1";135;-83.7
3;"MCS 2";160;-82.4
4;"MCS 3";184;-81.4
5;"MCS 4";233;-79.8
6;"MCS 5";283;-78.2
7;"MCS 6";332;-76.3
8;"MCS 7";381;-74.8
9;"MCS 8";430;-72.9
10;"MCS 9";479;-71.5
11;"MCS 10";528;-69.7
12;"MCS 11";578;-68
13;"MCS 12";627;-66.3
14;"MCS 13";676;-64.7
15;"MCS 14";700;-63.8
16;"MCS 15";713;-63.4
